Model,MAE,MSE,RMSE,R²,MAPE (%),Explained Variance,Training_Time (s)
Extra Trees,130.6738836265219,1009078.2679296347,1004.528878594157,0.999999826643444,0.012434999050755466,0.99999982669431,0.641758
Weighted Average Ensemble,208.79995817395672,2711045.3447411684,1646.525233557375,0.9999995342507128,0.01695562784618759,0.9999995345642645,
Random Forest,262.83355886333004,3485649.3369418457,1866.9893778331589,0.9999994011761193,0.01805749836164395,0.9999994024113129,1.351368
Decision Tree,338.72655828996676,10581345.7309019,3252.8980511079503,0.9999981821572105,0.02510396704420555,0.999998182787668,0.251309
LightGBM,1677.4216390356326,48837855.05995354,6988.408621421156,0.9999916098060745,0.11719000249949885,0.9999916107422842,0.39723
Voting Regressor,3563.570382273342,87848059.45513201,9372.729562679808,0.9999849079724344,0.09585257151039506,0.9999849094338956,
XGBoost,7009.062686062246,338342754.6361573,18394.09564605331,0.9999418737509828,0.18096699524384013,0.9999418862063121,0.467857
Advanced Random Forest,36317.3480661421,11152232459.964897,105604.13088494644,0.9980840806188874,1.63086909526081,0.9980841005635263,
